字頻序號,字,擴展,出現頻次,出現頻率,累積頻次,累積頻率
1,的,,4639787,0.028617824353259443,4639787,0.028617824353259443
2,是,,1527542,0.009421753336570544,6167329,0.03803957768982999
3,一,,1526941,0.009418046418033916,7694270,0.0474576241078639
4,不,,1404800,0.008664690782455933,9099070,0.05612231489031984
5,在,,1279746,0.007893368002623042,10378816,0.06401568289294288
6,有,,1232928,0.007604598431827896,11611744,0.07162028132477077
7,人,,1179959,0.007277889999271014,12791703,0.07889817132404178
8,大,,1030012,0.006353029244176396,13821715,0.08525120056821818
9,年,,999991,0.006167862186958208,14821706,0.09141906275517639
10,中,,898411,0.005541325107173275,15720117,0.09696038786234967
11,為,,841564,0.005190697489782706,16561681,0.10215108535213237
12,上,,811564,0.005005659958836181,17373245,0.10715674531096855
13,國,,804106,0.004959659628642875,18177351,0.11211640493961143
14,會,,749833,0.004624908231407517,18927184,0.11674131317101895
15,以,,733269,0.004522742842654242,19660453,0.12126405601367318
16,出,,723564,0.004462883201393041,20384017,0.12572693921506622
17,來,,707644,0.004364689951637419,21091661,0.13009162916670364
18,了,,687389,0.004239758778660023,21779050,0.13433138794536367
19,時,,669534,0.0041296306081583505,22448584,0.13846101855352203
20,到,,669418,0.004128915129705357,23118002,0.1425899336832274
21,成,,623167,0.0038436427682451,23741169,0.14643357645147248
22,也,,597725,0.0036867186061670504,24338894,0.15012029505763952
23,這,,596959,0.003681993981210216,24935853,0.15380228903884974
24,我,,588323,0.0036287278439684095,25524176,0.15743101688281816
25,要,,588246,0.003628252914305647,26112422,0.16105926979712382
26,他,,581815,0.00358858703558841,26694237,0.1646478568327122
27,台,,581384,0.0035859286630604784,27275621,0.1682337854957727
28,可,,567240,0.0034986896351368903,27842861,0.17173247513090958
29,元,,560947,0.0034598749290620074,28403808,0.17519235005997158
30,個,,556851,0.0034346111381701088,28960659,0.1786269611981417
31,能,,542563,0.0033464839300979773,29503222,0.18197344512823968
32,後,,530695,0.003273283082855532,30033917,0.1852467282110952
33,對,,528381,0.003259010521301857,30562298,0.18850573873239707
34,多,,528266,0.0032583012107665617,31090564,0.19176403994316363
35,就,,523515,0.0032289974337823303,31614079,0.19499303737694595
36,家,,512493,0.003161014644912577,32126572,0.19815405202185854
37,業,,507810,0.0031321302863318245,32634382,0.20128618230819037
38,生,,500133,0.003084779182162609,33134515,0.20437096149035297
39,與,,497762,0.0030701550493001353,33632277,0.2074411165396531
40,市,,495549,0.00305650544743398,34127826,0.21049762198708707
41,下,,491453,0.003031241656542081,34619279,0.21352886364362916
42,發,,485575,0.0029949866363119587,35104854,0.21652385027994112
43,過,,473974,0.0029234326230949377,35578828,0.21944728290303606
44,前,,466250,0.0028757916267939058,36045078,0.22232307452982997
45,行,,457270,0.002820403725863913,36502348,0.2251434782556939
46,地,,445082,0.002745229144958038,36947430,0.22788870740065192
47,高,,441680,0.002724245888948702,37389110,0.23061295328960063
48,自,,437058,0.0026957377733475407,37826168,0.23330869106294816
49,分,,434531,0.002680151445324145,38260699,0.2359888425082723
50,說,,433247,0.002672231838999634,38693946,0.23866107434727193
51,和,,426605,0.002631264529648073,39120551,0.24129233887692
52,場,,426548,0.0026309129583392747,39547099,0.24392325183525929
53,新,,426230,0.0026289515605112416,39973329,0.24655220339577053
54,公,,418743,0.002582772360704687,40392072,0.24913497575647522
55,現,,416788,0.0025707140816046722,40808860,0.2517056898380799
56,美,,415621,0.002563516121650852,41224481,0.25426920595973074
57,用,,414324,0.002555516332396264,41638805,0.256824722292127
58,都,,410164,0.0025298577947716794,42048969,0.25935458008689866
59,經,,409981,0.0025287290658329055,42458950,0.2618833091527316
60,最,,403164,0.002486682370884157,42862114,0.26436999152361573
61,開,,401639,0.0024772762963943752,43263753,0.2668472678200101
62,於,,400121,0.0024679133973284813,43663874,0.2693151812173386
63,但,,392812,0.0024228320868722097,44056686,0.2717380133042108
64,價,,391769,0.0024163989487129686,44448455,0.2741544122529238
65,而,,387905,0.0023925661147270565,44836360,0.27654697836765085
66,長,,383651,0.002366327792838839,45220011,0.27891330616048965
67,資,,380217,0.0023451471634631602,45600228,0.28125845332395283
68,小,,377379,0.002327642613035619,45977607,0.28358609593698847
69,日,,371615,0.002292090735423093,46349222,0.28587818667241155
70,得,,371052,0.0022886181977589968,46720274,0.28816680487017055
71,動,,370540,0.0022854602238975095,47090814,0.2904522650940681
72,方,,364809,0.002250111887569025,47455623,0.2927023769816371
73,將,,360422,0.002223053232626945,47816045,0.29492543021426404
74,子,,356758,0.002200453982180676,48172803,0.2971258841964447
75,天,,356066,0.0021961857831335097,48528869,0.2993220699795782
76,作,,354687,0.0021876802246276676,48883556,0.3015097502042059
77,外,,353504,0.0021803835779906763,49237060,0.30369013378219656
78,因,,353305,0.002179156162368731,49590365,0.3058692899445653
79,月,,353130,0.002178076776771543,49943495,0.3080473667213368
80,品,,351423,0.002167548141260686,50294918,0.3102149148625975
81,機,,347395,0.0021427037687722656,50642313,0.3123576186313698
82,好,,346253,0.0021356600067609015,50988566,0.3144932786381307
