字頻序號,字,擴展,出現頻次,出現頻率,累積頻次,累積頻率
1,的,,21244,0.02789416394320851,21244,0.02789416394320851
2,不,,16199,0.021269890873471788,37443,0.0491640548166803
3,是,,12825,0.0168397030960106,50268,0.0660037579126909
4,一,,10877,0.014281906477606805,61145,0.0802856643902977
5,人,,8426,0.011063652108147002,69571,0.0913493164984447
6,有,,8266,0.010853566143596383,77837,0.1022028826420411
7,要,,7218,0.009477503075789824,85055,0.11168038571783091
8,大,,7024,0.009222773843772198,92079,0.12090315956160311
9,了,,6855,0.009000870543715607,98934,0.12990403010531873
10,在,,6186,0.008122448604438328,105120,0.13802647870975704
11,就,,5861,0.007695711488944883,110981,0.14572219019870192
12,會,,5536,0.0072689743734514365,116517,0.15299116457215337
13,國,,5255,0.006900010898209411,121772,0.15989117547036277
14,台,,4969,0.006524482236575179,126741,0.16641565770693795
15,他,,4756,0.006244805296267166,131497,0.17266046300320512
16,民,,4641,0.0060938060092464085,136138,0.17875426901245153
17,到,,4538,0.005958563169566947,140676,0.18471283218201848
18,也,,4282,0.005622425626285956,144958,0.19033525780830443
19,為,,4235,0.005560712874199211,149193,0.19589597068250364
20,我,,4018,0.005275783784777434,153211,0.20117175446728108
21,個,,3976,0.005220636219082896,157187,0.20639239068636397
22,都,,3973,0.005216697107247572,161160,0.21160908779361154
23,來,,3824,0.005021054552759807,164984,0.21663014234637135
24,麼,,3806,0.0049974198817478626,168790,0.22162756222811922
25,這,,3702,0.0048608640047899596,172492,0.22648842623290918
26,政,,3582,0.0047032995313769956,176074,0.23119172576428618
27,選,,3566,0.004682290934921934,179640,0.2358740166992081
28,中,,3467,0.004552300244356238,183107,0.24042631694356434
29,黨,,3426,0.0044984657159401415,186533,0.2449247826595045
30,扁,,3411,0.0044787701567635205,189944,0.249403552816268
31,以,,3330,0.004372414137209769,193274,0.25377596695347776
32,能,,3325,0.004365848950817563,196599,0.25814181590429536
33,可,,3287,0.00431595353423679,199886,0.2624577694385321
34,多,,3177,0.00417151943360824,203063,0.2666292888721404
35,年,,3090,0.0040572851903838405,206153,0.2706865740625242
36,好,,3025,0.003971937767285151,209178,0.2746585118298094
37,還,,2954,0.0038787121205158138,212132,0.27853722395032515
38,說,,2934,0.003852451374946986,215066,0.28238967532527215
39,上,,2897,0.0038038689956446554,217963,0.2861935443209168
40,灣,,2721,0.003572774434638974,220684,0.2897663187555558
41,沒,,2692,0.003534696353564174,223376,0.29330101510912
42,對,,2691,0.0035333833162857326,226067,0.2968343984254057
43,如,,2658,0.0034900530860971675,228725,0.3003244515115029
44,長,,2516,0.0033036017925584926,231241,0.30362805330406134
45,陳,,2508,0.0032930974943309616,233749,0.30692115079839233
46,得,,2471,0.0032445151150286306,236220,0.31016566591342093
47,水,,2466,0.003237949928636424,238686,0.3134036158420574
48,過,,2432,0.0031933066611694173,241118,0.3165969225032268
49,時,,2428,0.003188054512055652,243546,0.31978497701528247
50,出,,2393,0.0031420982073102036,245939,0.3229270752225926
51,少,,2380,0.003125028722690466,248319,0.3260521039452831
52,看,,2349,0.0030843245670587834,250668,0.32913642851234187
53,下,,2328,0.0030567507842115147,252996,0.3321931792965534
54,馬,,2304,0.0030252378895289215,255300,0.3352184171860823
55,什,,2236,0.002935951354594908,257536,0.33815436854067726
56,英,,2220,0.0029149427581398463,259756,0.34106931129881707
57,成,,2215,0.0029083775717476394,261971,0.34397768887056474
58,只,,2214,0.002907064534469198,264185,0.34688475340503394
59,你,,2181,0.002863734304280633,266366,0.34974848770931455
60,天,,2178,0.002859795192445309,268544,0.3526082829017599
61,當,,2173,0.002853230006053102,270717,0.35546151290781297
62,生,,2145,0.0028164649622567433,272862,0.3582779778700697
63,們,,2140,0.0028098997758645365,275002,0.36108787764593425
64,法,,2110,0.0027705086575112955,277112,0.3638583863034455
65,但,,2081,0.0027324305764364954,279193,0.36659081687988204
66,立,,2079,0.0027298045018796127,281272,0.36932062138176164
67,公,,2024,0.0026575874515653375,283296,0.371978208833327
68,果,,2011,0.0026405179669455998,285307,0.3746187268002726
69,而,,1996,0.002620822407768979,287303,0.3772395492080416
70,自,,1990,0.0026129441840983306,289293,0.3798524933921399
71,事,,1977,0.002595874699478593,291270,0.3824483680916185
72,家,,1943,0.0025512314320115864,293213,0.38499959952363005
73,學,,1940,0.0025472923201762623,295153,0.38754689184380636
74,很,,1936,0.002542040171062497,297089,0.3900889320148688
75,又,,1893,0.0024855795680895176,298982,0.39257451158295836
76,進,,1886,0.002476388307140428,300868,0.3950508998900988
77,主,,1880,0.00246851008346978,302748,0.39751940997356855
78,總,,1862,0.0024448754124578352,304610,0.3999642853860264
79,去,,1844,0.00242124074144589,306454,0.4023855261274723
80,真,,1831,0.0024041712568261524,308285,0.40478969738429843
81,後,,1825,0.0023962930331555042,310110,0.40718599041745396
82,統,,1814,0.002381849623092649,311924,0.4095678400405466
83,九,,1799,0.0023621540639160287,313723,0.4119299941044626
84,做,,1799,0.0023621540639160287,315522,0.41429214816837867
85,然,,1756,0.0023056934609430495,317278,0.4165978416293217
86,分,,1752,0.002300441311829284,319030,0.418898282941151
87,子,,1728,0.0022689284171466912,320758,0.42116721135829766
88,被,,1726,0.0022663023425898085,322484,0.4234335137008875
89,高,,1667,0.0021888331431617674,324151,0.42562234684404926
90,現,,1661,0.0021809549194911192,325812,0.42780330176354037
91,兩,,1657,0.0021757027703773538,327469,0.42997900453391774
92,前,,1655,0.002173076695820471,329124,0.4321520812297382
93,三,,1643,0.0021573202484791746,330767,0.4343094014782174
94,最,,1633,0.002144189875694761,332400,0.43645359135391215
95,美,,1618,0.0021244943165181405,334018,0.4385780856704303
96,想,,1616,0.0021218682419612577,335634,0.44069995391239153
97,之,,1613,0.002117929130125933,337247,0.44281788304251746
98,本,,1597,0.0020969205336708713,338844,0.44491480357618834
99,把,,1539,0.002020764371521272,340383,0.4469355679477096
100,心,,1536,0.002016825259685948,341919,0.44895239320739555
101,文,,1527,0.0020050079241799752,343446,0.4509574011315755
102,力,,1517,0.0019918775513955616,344963,0.4529492786829711
103,定,,1509,0.0019813732531680306,346472,0.45493065193613913
104,反,,1504,0.001974808066775824,347976,0.45690546000291493
105,連,,1473,0.0019341039111441412,349449,0.45883956391405906
106,開,,1462,0.0019196605010812862,350911,0.4607592244151404
107,道,,1459,0.001915721389245962,352370,0.46267494580438634
108,二,,1441,0.0018920867182340175,353811,0.4645670325226203
109,行,,1430,0.0018776433081711622,355241,0.4664446758307915
110,經,,1427,0.0018737041963358381,356668,0.46831838002712733
111,及,,1420,0.0018645129353867486,358088,0.4701828929625141
112,何,,1404,0.0018435043389316867,359492,0.4720263973014458
113,意,,1390,0.0018251218170335073,360882,0.4738515191184793
114,小,,1377,0.0018080523324137696,362259,0.47565957145089305
115,用,,1373,0.001802800183300004,363632,0.4774623716341931
116,考,,1367,0.001794921959629356,364999,0.4792572935938224
117,起,,1352,0.0017752264004527352,366351,0.48103251999427515
118,十,,1349,0.001771287288617411,367700,0.48280380728289257
119,重,,1345,0.0017660351395036456,369045,0.4845698424223962
120,院,,1344,0.0017647221022252042,370389,0.4863345645246214
121,打,,1309,0.0017187657974797562,371698,0.4880533303221012
122,樣,,1293,0.0016977572010246943,372991,0.48975108752312585
123,和,,1292,0.001696444163746253,374283,0.4914475316868721
124,老,,1291,0.0016951311264678116,375574,0.49314266281333996
125,應,,1284,0.001685939865518722,376858,0.49482860267885864
126,面,,1275,0.0016741225300127495,378133,0.4965027252088714
127,次,,1266,0.0016623051945067772,379399,0.4981650304033782
128,部,,1261,0.0016557400081145704,380660,0.49982077041149275
129,發,,1249,0.001639983560773274,381909,0.501460753972266
130,地,,1247,0.0016373574862163912,383156,0.5030981114584824
131,全,,1238,0.0016255401507104187,384394,0.5047236516091929
132,加,,1229,0.0016137228152044464,385623,0.5063373744243973
133,因,,1228,0.001612409777926005,386851,0.5079497842023233
134,萬,,1219,0.0016005924424200328,388070,0.5095503766447433
135,無,,1208,0.0015861490323571777,389278,0.5111365256771006
136,任,,1196,0.001570392585015881,390474,0.5127069182621163
137,所,,1194,0.0015677665104589984,391668,0.5142746847725754
138,問,,1189,0.0015612013240667915,392857,0.5158358860966422
139,那,,1181,0.0015506970258392606,394038,0.5173865831224814
140,難,,1178,0.0015467579140039365,395216,0.5189333410364854
141,機,,1177,0.0015454448767254951,396393,0.5204787859132108
142,官,,1159,0.0015218102057135503,397552,0.5220005961189245
143,動,,1151,0.0015113059074860194,398703,0.5235119020264104
144,太,,1147,0.001506053758372254,399850,0.5250179557847827
145,委,,1122,0.0014732278264112195,400972,0.526491183611194
146,日,,1118,0.001467975677297454,402090,0.5279591592884914
147,員,,1115,0.00146403656546213,403205,0.5294231958539535
148,趙,,1111,0.0014587844163483645,404316,0.5308819802703019
149,持,,1109,0.0014561583417914818,405425,0.5323381386120933
150,北,,1101,0.0014456540435639508,406526,0.5337837926556573
151,同,,1094,0.0014364627826148613,407620,0.5352202554382721
152,再,,1093,0.00143514974533642,408713,0.5366554051836085
153,知,,1092,0.0014338367080579785,409805,0.5380892418916665
154,者,,1087,0.0014272715216657717,410892,0.5395165134133323
155,外,,1079,0.0014167672234382405,411971,0.5409332806367706
156,理,,1072,0.001407575962489151,413043,0.5423408565992597
157,明,,1069,0.0014036368506538269,414112,0.5437444934499135
158,更,,1068,0.0014023238133753855,415180,0.545146817263289
159,電,,1064,0.00139707166426162,416244,0.5465438889275506
160,嗎,,1062,0.0013944455897047373,417306,0.5479383345172553
161,正,,1057,0.0013878804033125305,418363,0.5493262149205678
162,怎,,1054,0.0013839412914772064,419417,0.550710156212045
163,票,,1053,0.001382628254198765,420470,0.5520927844662438
164,給,,1047,0.0013747500305281168,421517,0.5534675344967719
165,從,,1040,0.001365558769579027,422557,0.5548330932663509
166,像,,1036,0.0013603066204652616,423593,0.5561933998868162
167,市,,1030,0.0013524283967946134,424623,0.5575458282836108
168,阿,,1028,0.0013498023222377306,425651,0.5588956306058486
169,讓,,1026,0.001347176247680848,426677,0.5602428068535293
170,比,,1024,0.0013445501731239652,427701,0.5615873570266533
171,算,,1024,0.0013445501731239652,428725,0.5629319071997773
172,才,,1021,0.001340611061288641,429746,0.564272518261066
173,其,,1019,0.0013379849867317583,430765,0.5656105032477977
174,康,,1016,0.0013340458748964342,431781,0.5669445491226941
175,方,,1009,0.0013248546139473447,432790,0.5682694037366415
176,必,,994,0.001305159054770724,433784,0.5695745627914122
177,共,,989,0.0012985938683785171,434773,0.5708731566597908
178,陸,,988,0.0012972808311000757,435761,0.5721704374908908
179,治,,986,0.001294654756543193,436747,0.573465092247434
180,題,,984,0.0012920286819863103,437731,0.5747571209294203
181,金,,983,0.001290715644707869,438714,0.5760478365741282
182,己,,977,0.0012828374210372207,439691,0.5773306739951654
183,新,,972,0.0012762722346450139,440663,0.5786069462298105
184,點,,970,0.0012736461600881311,441633,0.5798805923898985
185,情,,966,0.0012683940109743657,442599,0.5811489864008729
186,名,,963,0.0012644548991390414,443562,0.5824134413000119
187,實,,956,0.0012552636381899518,444518,0.5836687049382019
188,至,,947,0.0012434463026839795,445465,0.5849121512408859
189,府,,938,0.0012316289671780072,446403,0.5861437802080639
190,幾,,929,0.0012198116316720349,447332,0.587363591839736
191,間,,927,0.0012171855571151522,448259,0.5885807773968511
192,該,,925,0.0012145594825582692,449184,0.5897953368794093
193,關,,923,0.0012119334080013865,450107,0.5910072702874107
194,作,,922,0.001210620370722945,451029,0.5922178906581337
195,與,,919,0.001206681258887621,451948,0.5934245719170212
196,投,,915,0.0012014291097738555,452863,0.5946260010267952
197,頭,,897,0.001177794438761911,453760,0.5958037954655571
198,制,,896,0.0011764814014834696,454656,0.5969802768670406
199,變,,895,0.0011751683642050282,455551,0.5981554452312455
200,權,,886,0.0011633510286990557,456437,0.5993187962599447
201,錢,,885,0.0011620379914206143,457322,0.6004808342513652
202,調,,885,0.0011620379914206143,458207,0.6016428722427859
