字頻序號,字,擴展,出現頻次,出現頻率,累積頻次,累積頻率
1,的,,230836,0.041474143520918265,230836,0.041474143520918265
2,是,,91443,0.016429500190539296,322279,0.057903643711457564
3,一,,87181,0.015663749615732275,409460,0.07356739332718984
4,我,,83325,0.014970944778459663,492785,0.0885383381056495
5,不,,76160,0.01368361421335119,568945,0.10222195231900069
6,有,,57774,0.010380214385007244,626719,0.11260216670400794
7,在,,55590,0.009987816624477319,682309,0.12258998332848525
8,人,,53937,0.009690823264515798,736246,0.13228080659300107
9,了,,50409,0.009056949959044382,786655,0.14133775655204545
10,這,,46890,0.008424693677311414,833545,0.14976245022935686
11,他,,42374,0.007613307099219319,875919,0.15737575732857617
12,個,,36249,0.006512832610553667,912168,0.16388858993912983
13,會,,35811,0.006434137455282556,947979,0.1703227273944124
14,來,,35048,0.006297049776123063,983027,0.17661977717053545
15,就,,34954,0.006280160861521501,1017981,0.18289993803205695
16,到,,34499,0.006198411328077766,1052480,0.18909834936013473
17,要,,32152,0.005776727470951516,1084632,0.19487507683108624
18,時,,31244,0.005613587742672592,1115876,0.20048866457375883
19,們,,30938,0.005558608935565377,1146814,0.2060472735093242
20,為,,30100,0.005408046058585489,1176914,0.2114553195679097
21,上,,29954,0.005381814340161785,1206868,0.2168371339080715
22,以,,29649,0.005327015202358842,1236517,0.22216414911043034
23,你,,27455,0.004932820748786199,1263972,0.2270969698592165
24,大,,26890,0.004831307591872551,1290862,0.23192827745108907
25,也,,26830,0.004820527433616235,1317692,0.23674880488470532
26,自,,26250,0.004716319237138508,1343942,0.24146512412184382
27,說,,24871,0.004468555266547498,1368813,0.2459336793883913
28,能,,24529,0.004407108364486494,1393342,0.2503407877528778
29,可,,24300,0.004365964093808218,1417642,0.254706751846686
30,生,,22999,0.00413221432895042,1440641,0.25883896617563645
31,出,,21862,0.003927930329993221,1462503,0.2627668965056297
32,得,,21649,0.003889660768183297,1484152,0.266656557273813
33,子,,21518,0.0038661240893236725,1505670,0.2705226813631366
34,都,,21097,0.0037904833122251844,1526767,0.2743131646753618
35,過,,21095,0.0037901239736166407,1547862,0.2781032886489785
36,著,,20896,0.003754369782066524,1568758,0.281857658431045
37,對,,20787,0.003734785827900882,1589545,0.28559244425894587
38,好,,20691,0.003717537574690776,1610236,0.28930998183363665
39,麼,,20621,0.0037049607233917395,1630857,0.29301494255702837
40,後,,20389,0.003663277444800649,1651246,0.29667822000182903
41,想,,19045,0.003421801899859157,1670291,0.30010002190168816
42,中,,18990,0.0034119200881242004,1689281,0.3035119419898124
43,那,,18820,0.00338137630639797,1708101,0.30689331829621036
44,地,,18802,0.003378142258921075,1726903,0.31027146055513144
45,下,,18770,0.0033723928411843727,1745673,0.3136438533963158
46,沒,,18732,0.003365565407622039,1764405,0.31700941880393785
47,而,,18463,0.0033172343647728864,1782868,0.32032665316871073
48,她,,17905,0.003216978892989142,1800773,0.3235436320616999
49,多,,17840,0.003205300388211466,1818613,0.3267489324499113
50,看,,17618,0.0031654138026630946,1836231,0.32991434625257443
51,心,,17302,0.0031086383025131603,1853533,0.3330229845550876
52,然,,17086,0.0030698297327904204,1870619,0.336092814287878
53,如,,16799,0.003018264642464373,1887418,0.33911107893034237
54,很,,16644,0.002990415900302222,1904062,0.3421014948306446
55,成,,16547,0.002972987977787843,1920609,0.34507448280843245
56,事,,16463,0.002957895756229,1937072,0.34803237856466146
57,己,,16124,0.0028969878620808114,1953196,0.3509293664267423
58,和,,15816,0.0028416497163650527,1969012,0.3537710161431073
59,家,,15737,0.0028274558413275692,1984749,0.3565984719844349
60,但,,15607,0.0028040988317722167,2000356,0.3594025708162071
61,小,,15529,0.0027900846260390053,2015885,0.3621926554422461
62,用,,15277,0.0027448079613624755,2031162,0.3649374634036086
63,所,,14980,0.0026914461779937084,2046142,0.36762890958160227
64,學,,14953,0.002686595106778366,2061095,0.37031550468838065
65,開,,14911,0.002679048995998944,2076006,0.3729945536843796
66,因,,14596,0.002622453165153282,2090602,0.37561700684953286
67,之,,14518,0.0026084389594200705,2105120,0.37822544580895295
68,還,,14480,0.002601611525857737,2119600,0.3808270573348107
69,當,,14379,0.0025834649261262705,2133979,0.38341052226093697
70,只,,14186,0.0025487887504017856,2148165,0.38595931101133873
71,年,,14141,0.002540703631709548,2162306,0.3885000146430483
72,樣,,13759,0.0024720699574776656,2176065,0.39097208460052596
73,去,,13746,0.0024697342565221307,2189811,0.3934418188570481
74,現,,13620,0.0024470959241838655,2203431,0.39588891478123195
75,裡,,13576,0.0024391904747959,2217007,0.39832810525602785
