字頻序號,字,擴展,出現頻次,出現頻率,累積頻次,累積頻率
1,的,,2792776,0.03710067182709812,2792776,0.03710067182709812
2,是,,850322,0.011296114500182516,3643098,0.04839678632728064
3,一,,832207,0.011055465529356398,4475305,0.05945225185663703
4,不,,646212,0.008584612350841144,5121517,0.06803686420747818
5,在,,644543,0.0085624404970013,5766060,0.07659930470447948
6,有,,617529,0.008203572636228638,6383589,0.08480287734070811
7,人,,524582,0.006968816914927221,6908171,0.09177169425563533
8,大,,507339,0.006739752040295438,7415510,0.09851144629593077
9,年,,457496,0.006077612009774533,7873006,0.1045890583057053
10,為,,439461,0.005838025800067161,8312467,0.11042708410577247
11,中,,435188,0.005781261071812124,8747655,0.11620834517758459
12,了,,394829,0.005245111371918594,9142484,0.12145345654950318
13,國,,385886,0.005126307963356741,9528370,0.12657976451285993
14,以,,380012,0.005048274728212792,9908382,0.13162803924107272
15,來,,379879,0.005046507887852877,10288261,0.1366745471289256
16,上,,375117,0.004983247032259503,10663378,0.1416577941611851
17,這,,346305,0.0046004936153430185,11009683,0.1462582877765281
18,業,,342956,0.004556003778009501,11352639,0.15081429155453763
19,會,,336284,0.004467369500706059,11688923,0.15528166105524369
20,個,,328897,0.0043692367959038214,12017820,0.1596508978511475
21,時,,326124,0.004332398838625277,12343944,0.16398329668977277
22,到,,324265,0.00430770292712841,12668209,0.1682909996169012
23,成,,310245,0.004121454041068119,12978454,0.1724124536579693
24,出,,309679,0.004113935006152989,13288133,0.1765263886641223
25,能,,302132,0.004013676779113258,13590265,0.18054006544323556
26,要,,301927,0.00401095345374647,13892192,0.18455101889698203
27,也,,291035,0.0038662585274291603,14183227,0.1884172774244112
28,多,,288273,0.003829566699804444,14471500,0.19224684412421564
29,就,,276598,0.003674469999037404,14748098,0.19592131412325303
30,可,,275375,0.0036582230384345697,15023473,0.1995795371616876
31,我,,275127,0.0036549284789664563,15298600,0.20323446564065406
32,生,,256609,0.0034089258490046536,15555209,0.2066433914896587
33,與,,255331,0.0033919482401326816,15810540,0.21003533972979138
34,市,,253791,0.0033714900885968148,16064331,0.2134068298183882
35,對,,252667,0.0033565582948784293,16316998,0.21676338811326665
36,地,,244066,0.0032422981900992165,16561064,0.22000568630336584
37,家,,237856,0.003159801358256534,16798920,0.2231654876616224
38,經,,236570,0.003142717473272687,17035490,0.22630820513489508
39,發,,236145,0.0031370715548293474,17271635,0.22944527668972442
40,自,,232973,0.003094933076471056,17504608,0.23254020976619547
41,過,,230403,0.003060791875531331,17735011,0.23560100164172681
42,行,,225603,0.002997026208406552,17960614,0.23859802785013337
43,而,,225166,0.0029912208757954003,18185780,0.24158924872592877
44,新,,222495,0.0029557379389432577,18408275,0.244544986664872
45,和,,220537,0.0029297268605619417,18628812,0.24747471352543396
46,他,,219823,0.002920241717577131,18848635,0.2503949552430111
47,資,,219696,0.0029185545843011212,19068331,0.2533135098273122
48,產,,219122,0.0029109292732741165,19287453,0.25622443910058634
49,用,,214385,0.0028480005305303504,19501838,0.2590724396311167
50,現,,212790,0.002826811730725346,19714628,0.261899251361842
51,下,,209069,0.0027773800541896583,19923697,0.2646766314160317
52,作,,207180,0.002752285607273261,20130877,0.26742891702330496
53,品,,205229,0.002726367520489835,20336106,0.2701552845437948
54,高,,203955,0.0027094430496738,20540061,0.2728647275934686
55,都,,199103,0.002644986587821836,20739164,0.2755097141812904
56,台,,196267,0.0026073117061622794,20935431,0.2781170258874527
57,美,,194360,0.0025819781379941642,21129791,0.28069900402544684
58,於,,194260,0.0025806496865957316,21324051,0.2832796537120426
59,動,,192653,0.0025593014726229147,21516704,0.2858389551846655
60,最,,192408,0.0025560467666967544,21709112,0.28839500195136225
61,之,,191995,0.0025505602624212266,21901107,0.2909455622137835
62,後,,191995,0.0025505602624212266,22093102,0.2934961224762047
63,開,,184236,0.0024474857184168188,22277338,0.2959436081946215
64,場,,184040,0.0024448819536758903,22461378,0.29838849014829744
65,公,,180545,0.0023984525773006605,22641923,0.3007869427255981
66,得,,179254,0.002381302269746892,22821177,0.30316824499534495
67,更,,178922,0.002376891811104095,23000099,0.30554513680644907
68,力,,175456,0.002330847685634411,23175555,0.3078759844920835
69,前,,174861,0.002322943399813735,23350416,0.31019892789189724
70,如,,171827,0.0022826381843852814,23522243,0.31248156607628247
71,們,,171027,0.0022720105731978183,23693270,0.31475357664948034
72,長,,168099,0.0022331135162517034,23861369,0.316986690165732
73,本,,167887,0.0022302971992870253,24029256,0.319216987365019
74,方,,167495,0.0022250896698051683,24196751,0.3214420770348242
75,因,,166360,0.0022100117464329554,24363111,0.3236520887812572
76,機,,163595,0.002173280065266286,24526706,0.32582536884652347
77,面,,163116,0.002166916783067792,24689822,0.32799228562959126
78,全,,161925,0.0021510949269124566,24851747,0.3301433805565037
79,外,,161314,0.0021429780888680317,25013061,0.33228635864537176
80,理,,160682,0.0021345822760299358,25173743,0.3344209409214017
81,小,,160478,0.0021318722351771325,25334221,0.3365528131565788
82,間,,159907,0.002124286777692081,25494128,0.33867709993427086
83,但,,159577,0.0021199028880772523,25653705,0.34079700282234815
84,金,,159091,0.0021134466142808685,25812796,0.342910449436629
85,說,,158820,0.002109846510991115,25971616,0.3450202959476201
86,好,,158634,0.00210737559139003,26130250,0.34712767153901014
87,當,,157262,0.002089149238203531,26287512,0.34921682077721367
88,內,,157001,0.002085681980053621,26444513,0.3513025027572673
89,心,,155408,0.002064519749276585,26599921,0.3533670225065439
90,分,,155331,0.0020634968416997916,26755252,0.35543051934824366
91,同,,155115,0.0020606273866791767,26910367,0.3574911467349228
92,進,,153621,0.0020407803227865894,27063988,0.3595319270577094
93,工,,152562,0.002026712022477185,27216550,0.36155863908018665
94,其,,150386,0.0019978049200472855,27366936,0.3635564440002339
95,子,,149611,0.0019875094217094305,27516547,0.36554395342194335
96,體,,148953,0.001978768211507742,27665500,0.36752272163345107
97,主,,147538,0.0019599706242199168,27813038,0.369482692257671
98,電,,147438,0.0019586421728214837,27960476,0.3714413344304925
99,所,,146932,0.0019519202087454133,28107408,0.3733932546392379
100,點,,146588,0.0019473503359348043,28253996,0.3753406049751727
101,重,,145811,0.0019370282685689808,28399807,0.3772776332437417
102,文,,145122,0.001927875238433778,28544929,0.3792055084821755
103,化,,145030,0.0019266530631472198,28689959,0.3811321615453227
104,者,,144168,0.0019152018120927284,28834127,0.3830473633574154
105,著,,143224,0.0019026612308915218,28977351,0.38495002458830696
106,然,,142991,0.0018995659391331733,29120342,0.3868495905274401
107,期,,141947,0.0018856969065335339,29262289,0.3887352874339736
108,股,,141289,0.0018769556963318455,29403578,0.39061224313030546
109,將,,140514,0.0018666601979939906,29544092,0.3924789033282995
110,及,,140009,0.0018599515184319045,29684101,0.39433885484673137
111,月,,139985,0.0018596326900962806,29824086,0.3961984875368277
112,元,,139718,0.0018560857248624647,29963804,0.39805457326169014
113,實,,139689,0.0018557004739569191,30103493,0.399910273735647
114,還,,138985,0.0018463481761119517,30242478,0.401756621911759
115,合,,138632,0.0018416587426754835,30381110,0.4035982806544345
116,事,,136229,0.0018097360555711412,30517339,0.40540801671000565
117,度,,135460,0.0017995202643171922,30652799,0.4072075369743228
118,等,,135290,0.0017972618969398565,30788089,0.4090047988712627
119,讓,,134881,0.001791828530720266,30922970,0.4107966274019829
120,學,,133802,0.001777494540131175,31056772,0.4125741219421141
121,商,,133655,0.0017755417165754787,31190427,0.4143496636586896
122,看,,133533,0.0017739210058693906,31323960,0.41612358466455895
123,日,,133216,0.0017697098149363584,31457176,0.41789329447949536
