字頻序號,字,擴展,出現頻次,出現頻率,累積頻次,累積頻率
1,的,,1446596,0.01910852853923957,1446596,0.01910852853923957
2,不,,654582,0.008646573630974036,2101178,0.027755102170213604
3,人,,562553,0.007430934452559552,2663731,0.035186036622773156
4,一,,558931,0.007383090347937995,3222662,0.04256912697071115
5,是,,547746,0.007235344265609968,3770408,0.04980447123632112
6,在,,524909,0.006933683355272449,4295317,0.05673815459159357
7,有,,516450,0.006821945839813103,4811767,0.06356010043140667
8,年,,480391,0.006345631491787504,5292158,0.06990573192319417
9,大,,463496,0.006122460274895951,5755654,0.07602819219809012
10,元,,408157,0.0053914705162950854,6163811,0.08141966271438521
11,中,,405129,0.00535147273915702,6568940,0.08677113545354223
12,上,,382186,0.005048411642433557,6951126,0.09181954709597578
13,國,,375593,0.004961322691089017,7326719,0.09678086978706481
14,台,,373165,0.004929250497267609,7699884,0.10171012028433242
15,出,,369877,0.0048858183006923244,8069761,0.10659593858502474
16,會,,354912,0.004688141043469355,8424673,0.1112840796284941
17,為,,336044,0.004438907866771526,8760717,0.11572298749526562
18,以,,299992,0.003962685983884621,9060709,0.11968567347915024
19,他,,294240,0.003886706058488929,9354949,0.12357237953763917
20,後,,290105,0.00383208558013163,9645054,0.1274044651177708
21,時,,285149,0.0037666202619360376,9930203,0.13117108537970684
22,到,,285134,0.003766422122353121,10215337,0.13493750750205996
23,來,,276604,0.003653746746201304,10491941,0.13859125424826127
24,成,,275315,0.003636719951376018,10767256,0.14222797419963729
25,前,,265586,0.0035082066178964135,11032842,0.1457361808175337
26,也,,264427,0.0034928970327897367,11297269,0.14922907785032344
27,可,,256534,0.003388635984259105,11553803,0.15261771383458253
28,價,,253012,0.003342112810190324,11806815,0.15595982664477287
29,分,,251824,0.0033264201552233416,12058639,0.1592862467999962
30,下,,249641,0.0032975842412562356,12308280,0.16258383104125243
31,家,,244062,0.003223889525716847,12552342,0.1658077205669693
32,說,,242542,0.0032038113813146474,12794884,0.16901153194828394
33,要,,241384,0.003188515005513498,13036268,0.17220004695379743
34,對,,235399,0.003109457311929838,13271667,0.17530950426572728
35,市,,232377,0.0030695387906249385,13504044,0.17837904305635222
36,場,,227746,0.003008366496725869,13731790,0.18138740955307808
37,我,,223733,0.0029553575536429566,13955523,0.18434276710672104
38,高,,219111,0.002894304143493637,14174634,0.18723707125021466
39,發,,218998,0.0028928114919689997,14393632,0.19012988274218368
40,公,,216551,0.002860488321342564,14610183,0.19299037106352623
41,與,,214898,0.0028386533393051725,14825081,0.1958290244028314
42,了,,211760,0.0027972025385590528,15036841,0.19862622694139045
43,日,,207452,0.0027402968503454504,15244293,0.20136652379173592
44,過,,206080,0.00272217368316136,15450373,0.20408869747489727
45,能,,205575,0.0027155029838698396,15655948,0.2068042004587671
46,行,,205537,0.0027150010302597846,15861485,0.2095192014890269
47,天,,205031,0.0027083171216627368,16066516,0.21222751861068964
48,生,,204931,0.0027069961911099605,16271447,0.2149345148017996
49,多,,204050,0.0026953587929400015,16475497,0.2176298735947396
50,將,,203634,0.002689863721840452,16679131,0.22031973731658006
51,但,,202701,0.0026775394397830494,16881832,0.22299727675636308
52,就,,202111,0.0026697459495216695,17083943,0.22566702270588476
53,長,,196300,0.0025929866750998396,17280243,0.2282600093809846
54,美,,195036,0.0025762901129127475,17475279,0.23083629949389733
55,小,,192319,0.002540400429793816,17667598,0.23337669992369117
56,開,,189551,0.0025038370720929684,17857149,0.23588053699578412
57,月,,187176,0.002472464971464532,18044325,0.23835300196724865
58,新,,186711,0.002466322644394122,18231036,0.2408193246116428
59,法,,185406,0.0024490845006803915,18416442,0.24326840911232317
60,最,,184526,0.0024374603118159604,18600968,0.24570586942413913
61,手,,180949,0.0023902106259431526,18781917,0.2480960800500823
