字頻序號,字,擴展,出現頻次,出現頻率,累積頻次,累積頻率
1,的,,16321,73.18834080717488,16321,73.18834080717488
2,不,,7860,35.24663677130045,24181,108.43497757847534
3,人,,7774,34.860986547085204,31955,143.29596412556054
4,一,,7322,32.83408071748879,39277,176.13004484304932
5,是,,6628,29.721973094170405,45905,205.85201793721973
6,在,,6397,28.68609865470852,52302,234.53811659192826
7,有,,6287,28.192825112107624,58589,262.7309417040359
8,大,,5557,24.919282511210763,64146,287.6502242152466
9,年,,5390,24.170403587443946,69536,311.8206278026906
10,台,,5117,22.946188340807176,74653,334.76681614349775
11,中,,5007,22.45291479820628,79660,357.21973094170403
12,國,,4809,21.565022421524663,84469,378.7847533632287
13,到,,4246,19.04035874439462,88715,397.82511210762334
14,多,,4222,18.932735426008968,92937,416.7578475336323
15,會,,4111,18.434977578475337,97048,435.19282511210764
16,出,,3998,17.928251121076233,101046,453.1210762331838
17,時,,3956,17.739910313901344,105002,470.8609865470852
18,為,,3904,17.506726457399104,108906,488.3677130044843
19,上,,3735,16.748878923766817,112641,505.1165919282511
20,後,,3673,16.47085201793722,116314,521.5874439461884
21,他,,3671,16.46188340807175,119985,538.0493273542601
22,日,,3602,16.152466367713004,123587,554.2017937219731
23,這,,3404,15.26457399103139,126991,569.4663677130045
24,生,,3353,15.035874439461884,130344,584.5022421524664
25,家,,3293,14.766816143497758,133637,599.2690582959641
26,女,,3259,14.614349775784753,136896,613.8834080717489
27,新,,3190,14.304932735426009,140086,628.1883408071749
28,了,,3091,13.860986547085203,143177,642.0493273542601
29,發,,3075,13.789237668161435,146252,655.8385650224216
30,也,,3054,13.695067264573991,149306,669.5336322869955
31,相,,3047,13.663677130044842,152353,683.1973094170404
32,要,,2987,13.394618834080717,155340,696.5919282511211
33,來,,2962,13.282511210762332,158302,709.8744394618834
34,下,,2914,13.067264573991032,161216,722.9417040358744
35,報,,2908,13.040358744394618,164124,735.9820627802691
36,天,,2884,12.932735426008968,167008,748.9147982062781
37,以,,2786,12.493273542600896,169794,761.4080717488789
38,法,,2737,12.27354260089686,172531,773.6816143497758
39,對,,2735,12.26457399103139,175266,785.9461883408072
40,過,,2723,12.210762331838565,177989,798.1569506726457
41,更,,2699,12.103139013452914,180688,810.2600896860987
42,前,,2675,11.995515695067265,183363,822.2556053811659
43,說,,2655,11.905829596412556,186018,834.1614349775784
44,公,,2620,11.748878923766815,188638,845.9103139013453
45,就,,2568,11.515695067264573,191206,857.4260089686098
46,事,,2468,11.067264573991032,193674,868.493273542601
47,子,,2455,11.008968609865471,196129,879.5022421524664
48,北,,2427,10.883408071748878,198556,890.3856502242153
49,行,,2377,10.659192825112108,200933,901.0448430493274
50,關,,2362,10.591928251121077,203295,911.6367713004485
51,我,,2357,10.5695067264574,205652,922.2062780269058
52,自,,2337,10.47982062780269,207989,932.6860986547085
53,方,,2284,10.242152466367713,210273,942.9282511210762
54,美,,2281,10.228699551569507,212554,953.1569506726457
55,金,,2258,10.125560538116591,214812,963.2825112107623
56,成,,2252,10.09865470852018,217064,973.3811659192825
57,個,,2252,10.09865470852018,219316,983.4798206278027
58,但,,2246,10.071748878923767,221562,993.5515695067264
59,名,,2194,9.838565022421525,223756,1003.390134529148
60,表,,2194,9.838565022421525,225950,1013.2286995515695
61,因,,2178,9.766816143497758,228128,1022.9955156950673
62,月,,2158,9.67713004484305,230286,1032.6726457399104
63,當,,2156,9.668161434977579,232442,1042.340807174888
64,工,,2128,9.542600896860986,234570,1051.8834080717488
65,元,,2098,9.408071748878923,236668,1061.2914798206277
66,機,,2095,9.394618834080717,238763,1070.6860986547085
67,與,,2094,9.390134529147982,240857,1080.0762331838564
68,被,,2091,9.376681614349776,242948,1089.4529147982062
69,高,,2078,9.318385650224215,245026,1098.7713004484306
70,部,,2070,9.282511210762332,247096,1108.053811659193
71,開,,2058,9.228699551569507,249154,1117.2825112107623
72,員,,2055,9.215246636771301,251209,1126.4977578475336
73,業,,2026,9.085201793721973,253235,1135.5829596412557
74,現,,2021,9.062780269058296,255256,1144.645739910314
75,可,,2014,9.031390134529149,257270,1153.6771300448431
76,地,,2003,8.98206278026906,259273,1162.659192825112
77,能,,1996,8.95067264573991,261269,1171.6098654708521
78,還,,1993,8.937219730941704,263262,1180.5470852017938
79,長,,1986,8.905829596412556,265248,1189.4529147982062
80,都,,1985,8.90134529147982,267233,1198.354260089686
81,導,,1981,8.883408071748878,269214,1207.237668161435
82,萬,,1979,8.874439461883409,271193,1216.1121076233185
83,外,,1978,8.869955156950672,273171,1224.982062780269
84,最,,1942,8.708520179372197,275113,1233.6905829596412
85,車,,1927,8.641255605381167,277040,1242.3318385650225
86,她,,1912,8.573991031390134,278952,1250.9058295964126
87,小,,1911,8.5695067264574,280863,1259.47533632287
88,於,,1848,8.286995515695068,282711,1267.762331838565
89,檢,,1836,8.233183856502242,284547,1275.9955156950673
90,沒,,1833,8.219730941704036,286380,1284.2152466367713
91,男,,1827,8.192825112107624,288207,1292.408071748879
92,分,,1788,8.01793721973094,289995,1300.42600896861
93,示,,1775,7.959641255605381,291770,1308.3856502242152
94,友,,1772,7.946188340807175,293542,1316.3318385650225
95,經,,1756,7.874439461883408,295298,1324.206278026906
96,心,,1746,7.829596412556054,297044,1332.0358744394618
97,民,,1690,7.57847533632287,298734,1339.6143497757848
98,定,,1682,7.542600896860987,300416,1347.1569506726457
99,好,,1680,7.533632286995516,302096,1354.6905829596412
100,將,,1669,7.484304932735426,303765,1362.1748878923768
101,全,,1658,7.434977578475336,305423,1369.6098654708521
102,氣,,1657,7.430493273542601,307080,1377.0403587443946
103,灣,,1653,7.4125560538116595,308733,1384.4529147982062
104,學,,1653,7.4125560538116595,310386,1391.865470852018
