字頻序號,字,擴展,出現頻次,出現頻率,累積頻次,累積頻率
1,的,,153258,0.03253877751028607,153258,0.03253877751028607
2,在,,48307,0.010256239316638539,201565,0.04279501682692461
3,年,,42573,0.009038832393385068,244138,0.051833849220309675
4,一,,41300,0.00876855701610888,285438,0.060602406236418556
5,有,,34888,0.0074072013844553655,320326,0.06800960762087392
6,中,,34097,0.007239261224655314,354423,0.07524886884552924
7,為,,32055,0.006805716589621553,386478,0.08205458543515079
8,是,,31403,0.006667288038180803,417881,0.08872187347333159
9,人,,31113,0.006605717056711757,448994,0.09532759053004335
10,和,,30133,0.006397649602092224,479127,0.10172524013213557
11,國,,29783,0.006323339796870962,508910,0.10804857992900653
12,了,,27300,0.0057961648072584115,536210,0.11384474473626495
13,斯,,27289,0.005793829356237172,563499,0.11963857409250211
14,大,,26730,0.005675145981612357,590229,0.12531372007411448
15,後,,24533,0.005208692718552037,614762,0.13052241279266652
16,於,,23553,0.005000625263932504,638315,0.13552303805659902
17,時,,23061,0.004896166909164331,661376,0.14041920496576335
18,他,,21707,0.00460869411982265,683083,0.145027899085586
19,到,,21274,0.004516762275077489,704357,0.1495446613606635
20,日,,21174,0.004495530902157129,725531,0.15404019226282062
21,這,,21093,0.004478333490091637,746624,0.15851852575291225
22,克,,20922,0.00444202784239782,767546,0.1629605535953101
23,以,,20830,0.004422494979311089,788376,0.16738304857462116
24,爾,,20748,0.004405085253516393,809124,0.17178813382813757
25,上,,20572,0.004367718037176558,829696,0.17615585186531413
26,月,,20065,0.004260074976470331,849761,0.18041592684178445
27,不,,19986,0.004243302191863246,869747,0.1846592290336477
28,風,,19809,0.004205722661794208,889556,0.1888649516954419
29,成,,18808,0.0039931966188614,908364,0.1928581483143033
30,會,,18715,0.003973451442045465,927079,0.19683159975634876
31,出,,18148,0.0038530695575870206,945227,0.20068466931393578
32,美,,17445,0.0037038130059568863,962672,0.20438848231989268
33,地,,17290,0.0036709043779303277,979962,0.208059386697823
34,特,,16993,0.003607847200356857,996955,0.21166723389817985
35,對,,16793,0.003565384454516136,1013748,0.215232618352696
36,部,,16435,0.0034893761394612453,1030183,0.21872199449215723
37,德,,15255,0.0032388459390009917,1045438,0.22196084043115824
38,個,,14947,0.0031734533104062815,1060385,0.22513429374156452
39,州,,14858,0.0031545573885071606,1075243,0.22828885113007166
40,發,,14839,0.003150523427652292,1090082,0.23143937455772395
41,西,,14802,0.003142667819671759,1104884,0.23458204237739572
42,其,,14719,0.0031250457801478594,1119603,0.23770708815754357
43,之,,14684,0.0031176147996257336,1134287,0.24082470295716932
44,多,,13881,0.002947126875075239,1148168,0.24377182983224455
45,分,,13845,0.002939483580823909,1162013,0.24671131341306846
46,法,,13826,0.00293544961996904,1175839,0.2496467630330375
47,作,,13732,0.0029154921294239017,1189571,0.2525622551624614
48,過,,13673,0.002902965619400889,1203244,0.2554652207818623
49,行,,13462,0.0028581674225389283,1216706,0.2583233882044012
50,軍,,13437,0.002852859579308838,1230143,0.26117624778371007
51,與,,13290,0.0028216494611159083,1243433,0.263997897244826
52,來,,13151,0.002792137852756607,1256584,0.2667900350975826
53,並,,12760,0.0027091231846379975,1269344,0.2694991582822206
54,但,,12681,0.002692350400030913,1282025,0.2721915086822515
55,里,,12458,0.002645004438418509,1294483,0.27483651312067
56,最,,12399,0.002632477928395496,1306882,0.27746899104906547
57,也,,12379,0.0026282316538114242,1319261,0.2800972227028769
58,生,,12241,0.0025989323591813266,1331502,0.28269615506205825
59,而,,11891,0.002524622553960065,1343393,0.28522077761601833
60,主,,11852,0.0025163423185211244,1355245,0.28773711993453943
61,還,,11810,0.002507425141894573,1367055,0.290244545076434
62,得,,11785,0.002502117298664483,1378840,0.2927466623750985
63,自,,11679,0.002479612043368901,1390519,0.2952262744184674
64,方,,11628,0.002468784043179517,1402147,0.2976950584616469
65,公,,11605,0.0024639008274078343,1413752,0.3001589592890547
66,家,,11545,0.0024511620036556177,1425297,0.30261012129271037
67,前,,11190,0.0023757906297883383,1436487,0.3049859119224987
68,利,,11187,0.0023751536886007273,1447674,0.30736106561109944
69,下,,11059,0.002347977531262666,1458733,0.3097090431423621
70,員,,11032,0.0023422450605741687,1469765,0.31205128820293626
71,第,,10909,0.002316130471882125,1480674,0.3143674186748184
72,開,,10883,0.0023106103149228316,1491557,0.31667802898974123
73,加,,10618,0.002254347176683876,1502175,0.3189323761664251
74,影,,10560,0.002242032980390067,1512735,0.32117440914681517
75,名,,10464,0.002221650862386521,1523199,0.3233960600092017
76,本,,10419,0.002212096744572359,1533618,0.325608156753774
77,幣,,10370,0.002201693371841382,1543988,0.3278098501256154
78,都,,10345,0.002196385528611292,1554333,0.3300062356542267
79,戰,,10157,0.0021564705475210144,1564490,0.3321627062017477
80,同,,10115,0.0021475533708944627,1574605,0.3343102595726422
81,由,,10093,0.0021428824688519837,1584698,0.3364531420414942
82,因,,10027,0.0021288697627245457,1594725,0.3385820118042187
83,經,,9996,0.002122288037119234,1604721,0.34070429984133793
84,此,,9986,0.002120164899827198,1614707,0.3428244647411651
85,海,,9981,0.00211910333118118,1624688,0.34494356807234633
86,南,,9955,0.002113583174221886,1634643,0.3470571512465682
87,度,,9858,0.0020929887424891366,1644501,0.34915013998905736
88,達,,9855,0.0020923518013015257,1654356,0.3512424917903589
89,要,,9796,0.002079825291278513,1664152,0.3533223170816374
90,民,,9542,0.0020258976040607975,1673694,0.35534821468569816
91,所,,9506,0.0020182543098094677,1683200,0.35736646899550767
92,進,,9375,0.0019904412112837955,1692575,0.35935691020679145
93,動,,9327,0.0019802501522820223,1701902,0.3613371603590735
94,學,,9323,0.001979400897365208,1711225,0.3633165612564387
95,用,,9274,0.001968997524634231,1720499,0.3652855587810729
96,期,,9250,0.0019639019951333448,1729749,0.36724946077620624
97,電,,9224,0.001958381838174051,1738973,0.36920784261438033
98,選,,9186,0.001950313916464314,1748159,0.3711581565308446
99,拉,,9146,0.0019418213672961699,1757305,0.3730999778981408
100,政,,9119,0.0019360888966076725,1766424,0.37503606679474843
101,北,,9078,0.0019273840337103248,1775502,0.3769634508284588
102,間,,9018,0.0019146452099581084,1784520,0.3788780960384169
103,可,,9017,0.0019144328962289049,1793537,0.3807925289346458
104,位,,8954,0.0019010571312890778,1802491,0.3826935860659349
105,表,,8893,0.0018881059938076579,1811384,0.3845816920597425
106,羅,,8826,0.0018738809739510163,1820210,0.38645557303369354
107,面,,8822,0.0018730317190342018,1829032,0.38832860475272774
108,金,,8700,0.001847129444071362,1837732,0.39017573419679913
109,高,,8683,0.0018435201106749009,1846415,0.39201925430747403
110,議,,8663,0.0018392738360908287,1855078,0.39385852814356487
111,長,,8620,0.0018301443457350737,1863698,0.3956886724892999
112,當,,8598,0.0018254734436925944,1872296,0.3975141459329925
113,現,,8583,0.0018222887377545402,1880879,0.39933643467074703
114,被,,8569,0.0018193163455456898,1889448,0.40115575101629275
115,區,,8532,0.0018114607375651565,1897980,0.4029672117538579
116,將,,8458,0.0017957495216040897,1906438,0.40476296127546196
117,元,,8436,0.0017910786195616103,1914874,0.4065540398950236
118,氣,,8417,0.001787044658706742,1923291,0.40834108455373036
119,能,,8331,0.001768785677995232,1931622,0.41010987023172557
120,任,,8272,0.001756259167972219,1939894,0.4118661293996978
121,亞,,8260,0.0017537114032217759,1948154,0.4136198408029196
122,受,,8200,0.0017409725794695597,1956354,0.4153608133823891
123,外,,8181,0.001736938618614691,1964535,0.4170977520010038
124,向,,8176,0.0017358770499686731,1972711,0.4188336290509725
125,馬,,8105,0.0017208027751952173,1980816,0.4205544318261677
126,布,,8034,0.0017057285004217612,1988850,0.4222601603265895
127,內,,7968,0.0016917157942943233,1996818,0.4239518761208838
128,尼,,7960,0.0016900172844606944,2004778,0.4256418934053445
129,帶,,7842,0.001664964264414669,2012620,0.4273068576697592
130,新,,7782,0.0016522254406624527,2020402,0.42895908311042164
131,提,,7719,0.0016388496757226258,2028121,0.4305979327861442
132,及,,7632,0.001620378381281912,2035753,0.43221831116742615
133,場,,7581,0.0016095503810925282,2043334,0.43382786154851866
134,文,,7560,0.0016050917927792525,2050894,0.43543295334129795
135,暴,,7557,0.0016044548515916418,2058451,0.43703740819288955
136,兩,,7540,0.0016008455181951804,2065991,0.4386382537110847
137,參,,7536,0.001599996263278366,2073527,0.4402382499743631
138,統,,7488,0.001589805204276593,2081015,0.4418280551786397
139,入,,7436,0.0015787648903580055,2088451,0.44340682006899773
140,約,,7414,0.0015740939883155261,2095865,0.4449809140573132
141,重,,7376,0.0015660260666057893,2103241,0.44654694012391905
142,然,,7349,0.001560293595917292,2110590,0.4481072337198363
143,次,,7344,0.0015592320272712738,2117934,0.4496664657471076
144,事,,7308,0.001551588733019944,2125242,0.45121805448012753
145,就,,7284,0.0015464932035190576,2132526,0.4527645476836466
146,東,,7267,0.0015428838701225963,2139793,0.4543074315537692
147,格,,7181,0.0015246248894110863,2146974,0.45583205644318026
148,號,,7145,0.0015169815951597565,2154119,0.45734903803834004
149,小,,7142,0.0015163446539721457,2161261,0.4588653826923122
150,定,,7062,0.0014993595556358572,2168323,0.46036474224794804
151,至,,7001,0.0014864084181544373,2175324,0.4618511506661025
152,代,,6930,0.0014713341433809815,2182254,0.46332248480948346
153,計,,6865,0.0014575337509827471,2189119,0.4647800185604662
